feature,nominated_best_picture,won_best_picture,num_of_awards
keyword=family act,0.041655563,-0.001780611,0.041355104
keyword=distrust,-0.004519277,-0.001780611,-0.003503954
keyword=radio dj,-0.004519277,-0.001780611,-0.003503954
keyword=rubble,-0.004519277,-0.001780611,-0.003503954
keyword=king kong,-0.007829091,-0.00308469,0.028468852
keyword=johannesburg south africa,-0.004519277,-0.001780611,-0.003503954
keyword=dea,-0.012790875,-0.005039651,-0.009917216
keyword=carried in a chair,-0.004519277,-0.001780611,-0.003503954
keyword=wall,-0.006391824,-0.002518402,-0.004955806
keyword=duke,0.014052835,-0.003562229,0.000468733
keyword=theater,0.026261792,0.073505855,0.069064832
keyword=repair shop,-0.004519277,-0.001780611,0.011449065
keyword=pirate,-0.00830345,-0.007566612,-0.014889864
keyword=incestuous desire,-0.004519277,-0.001780611,-0.003503954
keyword=wetting pants,-0.004519277,-0.001780611,-0.003503954
keyword=pirate broadcasting,-0.004519277,-0.001780611,-0.003503954
keyword=cryptography,0.058915408,0.073505855,0.047916078
keyword=gay pickup,0.041655563,-0.001780611,0.026402085
keyword=martial art,-0.004519277,-0.001780611,-0.003503954
keyword=broadway play,0.041655563,0.105723803,0.056308124
keyword=victorian era,0.018834985,-0.00308469,0.019834097
keyword=king henry viii,0.045499062,0.0589947,0.054373119
keyword=ancient greece,-0.006391824,-0.002518402,-0.004955806
keyword=ends with a kiss,0.041655563,-0.001780611,-0.003503954
keyword=mind reading,-0.004519277,-0.001780611,-0.003503954
keyword=iran,-0.007829091,-0.00308469,0.002564586
keyword=business tycoon,-0.004519277,-0.001780611,-0.003503954
keyword=sewing,0.041655563,-0.001780611,-0.003503954
keyword=tour de france,-0.004519277,-0.001780611,-0.003503954
keyword=terrorism,-0.011075135,-0.004363644,-0.008586942
keyword=parole officer,-0.007829091,-0.00308469,-0.00607017
keyword=iraq,0.011015234,0.024891418,0.018096647
keyword=homicide,-0.006391824,-0.002518402,-0.004955806
keyword=tomato,-0.004519277,-0.001780611,-0.003503954
keyword=apartment,0.008992819,0.009901786,-8.19E-05
keyword=hand to hand combat,-0.011963641,-0.004713718,-0.009275832
keyword=plastic bag,-0.004519277,-0.001780611,-0.003503954
keyword=female guitarist,-0.004519277,-0.001780611,-0.003503954
keyword=lucifer,-0.006391824,-0.002518402,-0.004955806
keyword=digging,-0.006391824,-0.002518402,-0.004955806
keyword=troma,-0.006391824,-0.002518402,-0.004955806
keyword=marshal,-0.006391824,-0.002518402,-0.004955806
keyword=news broadcast,-0.004519277,-0.001780611,-0.003503954
keyword=heist,-0.024401445,-0.009614258,-0.0189193
keyword=tarantula,-0.006391824,-0.002518402,-0.004955806
keyword=ukrainian,-0.004519277,-0.001780611,-0.003503954
keyword=detective novel,-0.004519277,-0.001780611,-0.003503954
keyword=beauty salon,-0.006391824,-0.002518402,-0.004955806
keyword=school bus,-0.004519277,-0.001780611,-0.003503954
keyword=hong kong police,-0.004519277,-0.001780611,-0.003503954
keyword=yanked off bikini top,-0.004519277,-0.001780611,-0.003503954
keyword=cardinal richelieu,-0.004519277,-0.001780611,-0.003503954
keyword=scar,-0.006391824,-0.002518402,0.016192947
keyword=boot camp,-0.004519277,-0.001780611,-0.003503954
keyword=tony stark,-0.004519277,-0.001780611,-0.003503954
keyword=fear of one's husband,0.041655563,-0.001780611,0.026402085
keyword=boulder,-0.004519277,-0.001780611,-0.003503954
keyword=trade union,-0.004519277,-0.001780611,-0.003503954
keyword=tejano,-0.004519277,-0.001780611,-0.003503954
keyword=devil,-0.011963641,-0.004713718,-0.009275832
keyword=scam,0.000310822,-0.005635564,-0.011089875
keyword=shakespeare's coriolanus,-0.004519277,-0.001780611,-0.003503954
keyword=genital dismemberment,-0.004519277,-0.001780611,-0.003503954
keyword=oceanographer,-0.004519277,-0.001780611,-0.003503954
keyword=idler,-0.004519277,-0.001780611,-0.003503954
keyword=shot in the butt,-0.004519277,-0.001780611,-0.003503954
keyword=celibacy,-0.004519277,-0.001780611,-0.003503954
keyword=redemption,-0.012790875,-0.005039651,-0.004627038
keyword=seeing dead people,-0.006391824,-0.002518402,-0.004955806
keyword=medallion,-0.006391824,-0.002518402,-0.004955806
keyword=casualty notification team,-0.004519277,-0.001780611,-0.003503954
keyword=american in the uk,-0.004519277,-0.001780611,-0.003503954
keyword=mutation,-0.006391824,-0.002518402,-0.004955806
keyword=corrupt judge,-0.004519277,-0.001780611,0.011449065
keyword=evolution,-0.006391824,-0.002518402,-0.004955806
keyword=aunt niece relationship,-0.004519277,-0.001780611,-0.003503954
keyword=cave painting,-0.004519277,-0.001780611,-0.003503954
keyword=australian,-0.011963641,-0.004713718,-0.009275832
keyword=foetus,-0.004519277,-0.001780611,-0.003503954
keyword=corrupt,-0.004519277,-0.001780611,-0.003503954
keyword=foreign,-0.004519277,-0.001780611,-0.003503954
keyword=cossack,-0.004519277,-0.001780611,-0.003503954
keyword=gallantry,0.041655563,0.105723803,0.116120201
keyword=based on supposedly true story,-0.006391824,-0.002518402,-0.004955806
keyword=end credits roll call,-0.006391824,-0.002518402,-0.004955806
keyword=reference to superman,-0.004519277,-0.001780611,-0.003503954
keyword=class,-0.007829091,-0.00308469,-0.00607017
keyword=maryland,-0.007829091,-0.00308469,-0.00607017
keyword=madman,-0.004519277,-0.001780611,-0.003503954
keyword=stanford university,-0.004519277,-0.001780611,-0.003503954
keyword=jumping on a bed,-0.004519277,-0.001780611,-0.003503954
keyword=job offer,-0.004519277,-0.001780611,0.011449065
keyword=ghost story,-0.004519277,-0.001780611,-0.003503954
keyword=drug abuse,-0.004519277,-0.001780611,-0.003503954
keyword=bomb,0.001489926,0.016930408,0.019063523
keyword=traveling salesman,0.026261792,-0.002518402,0.026767324
keyword=genie,-0.004519277,-0.001780611,0.026402085
keyword=slasher,-0.01631292,-0.00642735,-0.012647981
keyword=schizophrenia,-0.006391824,-0.002518402,-0.004955806
keyword=appeasement,0.041655563,-0.001780611,0.056308124
keyword=schizophrenic,-0.006391824,-0.002518402,-0.004955806
keyword=single guy,-0.004519277,-0.001780611,-0.003503954
keyword=foreplay,-0.004519277,-0.001780611,-0.003503954
keyword=occupation,-0.006391824,-0.002518402,-0.004955806
keyword=spanking,0.014052835,-0.003562229,0.015425977
keyword=bull riding,-0.004519277,-0.001780611,-0.003503954
keyword=pageant,-0.007829091,-0.00308469,-0.00607017
keyword=cultural revolution,0.041655563,-0.001780611,0.041355104
keyword=author cameo,-0.004519277,-0.001780611,-0.003503954
keyword=elevator girl,0.041655563,0.105723803,0.071261143
keyword=talking to self in mirror,-0.004519277,-0.001780611,-0.003503954
keyword=pow camp,-0.004519277,-0.001780611,-0.003503954
keyword=upholsterer,-0.004519277,-0.001780611,-0.003503954
keyword=village,0.008352767,0.014597092,0.005892618
keyword=pest control,-0.004519277,-0.001780611,-0.003503954
keyword=phone booth,-0.006391824,-0.002518402,-0.004955806
keyword=midlife crisis,0.045499062,0.0589947,0.045738363
keyword=apple computer,-0.004519277,-0.001780611,-0.003503954
keyword=love across time,-0.006391824,-0.002518402,-0.004955806
keyword=epic battle,-0.004519277,-0.001780611,-0.003503954
keyword=sales,-0.007829091,-0.00308469,-0.00607017
keyword=harem,-0.004519277,-0.001780611,-0.003503954
keyword=rebellion,-0.01430333,-0.005635564,-0.011089875
keyword=dead in absentia,-0.004519277,-0.001780611,-0.003503954
keyword=terminal cancer,-0.004519277,-0.001780611,-0.003503954
keyword=coma,-0.019204421,-0.007566612,-0.014889864
keyword=motion sickness,-0.004519277,-0.001780611,-0.003503954
keyword=fictional war,-0.007829091,-0.00308469,-0.00607017
keyword=conversations,-0.004519277,-0.001780611,-0.003503954
keyword=barn owl,-0.004519277,-0.001780611,-0.003503954
keyword=tradesman,0.041655563,-0.001780611,-0.003503954
keyword=dementia,0.018834985,-0.00308469,0.019834097
keyword=ballot,-0.004519277,-0.001780611,-0.003503954
keyword=african american,0.014271824,0.008510957,-0.001913551
keyword=reference to mad max,-0.006391824,-0.002518402,-0.004955806
keyword=revisionist history,-0.004519277,-0.001780611,-0.003503954
keyword=forced to strip,0.026261792,-0.002518402,-0.004955806
keyword=vulcan,-0.006391824,-0.002518402,0.005618571
keyword=christian film,-0.012790875,-0.005039651,-0.009917216
keyword=picnic,0.058915408,-0.002518402,0.037341701
keyword=disfigurement,-0.006391824,-0.002518402,-0.004955806
keyword=camping,-0.007829091,-0.00308469,-0.00607017
keyword=probe,-0.004519277,-0.001780611,-0.003503954
keyword=traitor,0.014052835,-0.003562229,-0.007009888
keyword=award,-0.006391824,-0.002518402,-0.004955806
keyword=car stunt,-0.004519277,-0.001780611,-0.003503954
keyword=crematorium,-0.006391824,-0.002518402,-0.004955806
keyword=breast expansion,-0.004519277,-0.001780611,-0.003503954
keyword=movie business,-0.004519277,-0.001780611,-0.003503954
keyword=arrogance,-0.004519277,-0.001780611,-0.003503954
keyword=cgi film,-0.004519277,-0.001780611,-0.003503954
keyword=colon in title,-0.007829091,-0.00308469,-0.00607017
keyword=pitchfork,-0.004519277,-0.001780611,-0.003503954
keyword=convenience store,-0.006391824,-0.002518402,-0.004955806
keyword=travel agency,-0.004519277,-0.001780611,-0.003503954
keyword=1800s,0.031206374,0.044112479,0.059059096
keyword=woodstock,-0.007829091,-0.00308469,-0.00607017
keyword=inbetwequel,-0.004519277,-0.001780611,-0.003503954
keyword=ira,-0.009041107,-0.003562229,-0.007009888
keyword=teenage mother,-0.006391824,-0.002518402,-0.004955806
keyword=year 1874,-0.004519277,-0.001780611,-0.003503954
keyword=middle age,0.041655563,-0.001780611,0.011449065
keyword=irs,-0.004519277,-0.001780611,-0.003503954
keyword=friendship between men,-0.010109217,-0.003983068,-0.007838032
keyword=boxing gym,-0.004519277,-0.001780611,-0.003503954
keyword=german democratic republic,-0.004519277,-0.001780611,-0.003503954
keyword=reference to jesus christ,-0.006391824,-0.002518402,-0.004955806
keyword=six year old,0.058915408,-0.002518402,0.026767324
keyword=cage,-0.006391824,-0.002518402,-0.004955806
keyword=strike,-0.006391824,-0.002518402,-0.004955806
keyword=congressman,0.003545163,-0.005039651,-0.004627038
keyword=one day,-0.004519277,-0.001780611,-0.003503954
keyword=water park,-0.004519277,-0.001780611,-0.003503954
keyword=lesbian kiss,-0.01430333,-0.005635564,-0.011089875
keyword=hanged man,-0.004519277,-0.001780611,-0.003503954
keyword=wet clothes,-0.004519277,-0.001780611,-0.003503954
keyword=surveillance,0.019881201,-0.005039651,-0.004627038
keyword=miners strike,-0.004519277,-0.001780611,-0.003503954
keyword=sibling,-0.007829091,-0.00308469,-0.00607017
keyword=south asian,-0.004519277,-0.001780611,-0.003503954
keyword=yakuza,-0.009041107,-0.003562229,-0.007009888
keyword=testicles,-0.004519277,-0.001780611,-0.003503954
keyword=woods,-0.007445633,-0.007352731,-0.010836867
keyword=arab israeli conflict,-0.004519277,-0.001780611,-0.003503954
keyword=hometown hero,0.041655563,0.105723803,0.041355104
keyword=penis joke,-0.004519277,-0.001780611,-0.003503954
keyword=accidental kiss,-0.004519277,-0.001780611,-0.003503954
keyword=talking to inanimate object,-0.004519277,-0.001780611,-0.003503954
keyword=werewolf transformation,-0.004519277,-0.001780611,-0.003503954
keyword=trojan,-0.004519277,-0.001780611,-0.003503954
keyword=centennial,-0.004519277,-0.001780611,-0.003503954
keyword=chainsaw,-0.010109217,-0.003983068,-0.007838032
keyword=holding someone's head underwater,-0.004519277,-0.001780611,-0.003503954
keyword=police sergeant,-0.007829091,-0.00308469,-0.00607017
keyword=sexual predator,-0.004519277,-0.001780611,-0.003503954
keyword=blade the character,-0.004519277,-0.001780611,-0.003503954
keyword=southern belle,0.041655563,-0.001780611,0.026402085
keyword=tango,-0.004519277,-0.001780611,-0.003503954
keyword=thor,-0.006391824,-0.002518402,-0.004955806
keyword=inner peace,-0.004519277,-0.001780611,-0.003503954
keyword=northern ireland,-0.006391824,-0.002518402,-0.004955806
keyword=bottle,-0.004519277,-0.001780611,-0.003503954
keyword=core,-0.004519277,-0.001780611,-0.003503954
keyword=duct tape gag,-0.004519277,-0.001780611,-0.003503954
keyword=mountain,0.013498492,-0.007566612,0.009820932
keyword=research,0.001835166,-0.005345861,-0.010519787
keyword=embarrassment,-0.006391824,-0.002518402,-0.004955806
keyword=immorality,-0.004519277,-0.001780611,-0.003503954
keyword=obsessive woman,-0.004519277,-0.001780611,-0.003503954
keyword=governess,0.045499062,0.0589947,0.037103608
keyword=exclamation point in title,-0.006391824,-0.002518402,-0.004955806
keyword=heroin addict,-0.004519277,-0.001780611,-0.003503954
keyword=around the world,0.026261792,0.073505855,0.047916078
keyword=remote control,-0.004519277,-0.001780611,-0.003503954
keyword=bra and panties,-0.004519277,-0.001780611,-0.003503954
keyword=self discovery,-0.006391824,-0.002518402,-0.004955806
keyword=bound and gagged,0.010548579,-0.003983068,-0.007838032
keyword=moor the landscape,0.041655563,-0.001780611,0.011449065
keyword=pet,0.018834985,-0.00308469,0.011199341
keyword=yogurt,-0.004519277,-0.001780611,-0.003503954
keyword=boxing knockout,-0.004519277,-0.001780611,-0.003503954
keyword=september 11 2001,-0.007829091,-0.00308469,-0.00607017
keyword=carlsbad california,-0.004519277,-0.001780611,-0.003503954
keyword=nursing,-0.004519277,-0.001780611,-0.003503954
keyword=settler,0.026261792,-0.002518402,0.005618571
keyword=asperger's syndrome,-0.006391824,-0.002518402,-0.004955806
keyword=biblical epic,-0.004519277,-0.001780611,-0.003503954
keyword=overachiever,-0.004519277,-0.001780611,-0.003503954
keyword=college roommate,-0.004519277,-0.001780611,-0.003503954
keyword=asylum,-0.007829091,-0.00308469,0.002564586
keyword=ex wife,-0.006391824,-0.002518402,-0.004955806
keyword=mugger,-0.004519277,-0.001780611,-0.003503954
keyword=conscience,-0.006391824,-0.002518402,0.016192947
keyword=monk,-0.010109217,-0.003983068,-0.007838032
keyword=war orphan,-0.004519277,-0.001780611,-0.003503954
keyword=male escort,-0.004519277,-0.001780611,-0.003503954
keyword=ambush,-0.006391824,-0.002518402,-0.004955806
keyword=payphone,-0.004519277,-0.001780611,-0.003503954
keyword=tribe,0.001835166,-0.005345861,0.004444505
keyword=self help,-0.004519277,-0.001780611,-0.003503954
keyword=sci fi spoof,-0.004519277,-0.001780611,-0.003503954
keyword=olympics,-0.011963641,-0.004713718,-0.009275832
keyword=alcatraz,-0.007829091,-0.00308469,-0.00607017
keyword=bondage gear,-0.004519277,-0.001780611,-0.003503954
keyword=horse racing,0.026261792,-0.002518402,-0.004955806
keyword=period drama,-0.004519277,-0.001780611,-0.003503954
keyword=grief,-0.007829091,-0.00308469,-0.00607017
keyword=future,-0.015096769,-0.011584474,0.002682464
keyword=wyoming,-0.007829091,-0.00308469,-0.00607017
keyword=meaning of christmas,-0.004519277,-0.001780611,-0.003503954
keyword=liberty,-0.004519277,-0.001780611,-0.003503954
keyword=oven,-0.004519277,-0.001780611,-0.003503954
keyword=nail gun,-0.004519277,-0.001780611,-0.003503954
keyword=long lost siblings,-0.004519277,-0.001780611,-0.003503954
keyword=based on film,-0.004519277,-0.001780611,-0.003503954
keyword=13 year olds,-0.004519277,-0.001780611,-0.003503954
keyword=civil rights,0.02664422,-0.004363644,0.003627897
keyword=suicide forest,-0.004519277,-0.001780611,-0.003503954
keyword=women's land army,-0.004519277,-0.001780611,-0.003503954
keyword=reference to kurt cobain,-0.004519277,-0.001780611,-0.003503954
keyword=cancun mexico,-0.004519277,-0.001780611,-0.003503954
keyword=canyon,0.041655563,-0.001780611,-0.003503954
keyword=forename as title,0.031206374,-0.003983068,0.01892082
keyword=interracial relationship,-0.010109217,-0.003983068,-0.007838032
keyword=teen sex comedy,-0.004519277,-0.001780611,-0.003503954
keyword=white suit,-0.004519277,-0.001780611,0.011449065
keyword=august,-0.004519277,-0.001780611,-0.003503954
keyword=duel,-0.010109217,-0.003983068,-0.007838032
keyword=mentor protege relationship,0.026261792,-0.002518402,0.037341701
keyword=single parent,-0.009041107,-0.003562229,-0.007009888
keyword=nymphet,-0.006391824,-0.002518402,-0.004955806
keyword=glowing eyes,-0.004519277,-0.001780611,-0.003503954
keyword=castration,-0.006391824,-0.002518402,-0.004955806
keyword=space program,0.041655563,-0.001780611,0.056308124
keyword=five sisters,-0.004519277,-0.001780611,-0.003503954
keyword=tour bus,-0.004519277,-0.001780611,-0.003503954
keyword=gold digger,0.041655563,-0.001780611,-0.003503954
keyword=demon,-0.022647603,-0.008923238,-0.017559484
keyword=narrative,-0.004519277,-0.001780611,-0.003503954
keyword=shrinking potion,-0.006391824,-0.002518402,0.016192947
keyword=lottery,-0.009041107,-0.003562229,-0.007009888
keyword=horror movie remake,-0.011075135,-0.004363644,0.009735317
keyword=a century of progress international exposition,0.041655563,-0.001780611,0.011449065
keyword=life or death,-0.004519277,-0.001780611,-0.003503954
keyword=arranged marriage,-0.009041107,-0.003562229,-0.007009888
keyword=crisis,-0.006391824,-0.002518402,-0.004955806
keyword=robotic midwife,-0.004519277,-0.001780611,-0.003503954
keyword=coming of age,-0.006542641,-0.007132523,0.004682072
keyword=homosexual sex,-0.004519277,-0.001780611,-0.003503954
keyword=nursing school,0.026261792,-0.002518402,-0.004955806
keyword=physical torture,-0.004519277,-0.001780611,-0.003503954
keyword=college professor,-0.004519277,-0.001780611,-0.003503954
keyword=sex symbol,-0.004519277,-0.001780611,-0.003503954
keyword=republic,0.041655563,0.105723803,0.131073221
keyword=comrades,0.041655563,-0.001780611,0.056308124
keyword=missing children,-0.004519277,-0.001780611,-0.003503954
keyword=loss of mother,-0.007829091,-0.00308469,-0.00607017
keyword=male ponytail,-0.004519277,-0.001780611,-0.003503954
keyword=usaaf,0.041655563,-0.001780611,0.026402085
keyword=songwriter,-0.007829091,-0.00308469,-0.00607017
keyword=bus trip,-0.004519277,-0.001780611,-0.003503954
keyword=wife meets mistress,-0.004519277,-0.001780611,-0.003503954
keyword=surfboard,-0.006391824,-0.002518402,-0.004955806
keyword=shakespeare in modern dress,-0.004519277,-0.001780611,-0.003503954
keyword=thief,-0.004135801,-0.008923238,-0.005569953
keyword=woman in bathtub,-0.004519277,-0.001780611,-0.003503954
keyword=three musketeers,-0.004519277,-0.001780611,-0.003503954
keyword=anime,-0.009041107,-0.003562229,0.000468733
keyword=royal navy,0.041655563,-0.001780611,0.026402085
keyword=impulse,-0.004519277,-0.001780611,-0.003503954
keyword=media tycoon,-0.004519277,-0.001780611,-0.003503954
keyword=isolation,-0.007829091,-0.00308469,-0.00607017
keyword=ultrasonography,-0.004519277,-0.001780611,-0.003503954
keyword=necromonger,-0.004519277,-0.001780611,-0.003503954
keyword=final battle,-0.007829091,-0.00308469,-0.00607017
keyword=jiminy cricket,-0.004519277,-0.001780611,0.026402085
keyword=gag humor,-0.004519277,-0.001780611,-0.003503954
keyword=gun held to head,-0.004519277,-0.001780611,-0.003503954
keyword=troop,-0.004519277,-0.001780611,-0.003503954
keyword=barricade,-0.007829091,-0.00308469,-0.00607017
keyword=package,-0.006391824,-0.002518402,-0.004955806
keyword=cheese,-0.007829091,-0.00308469,-0.00607017
keyword=duplicate earth,-0.004519277,-0.001780611,-0.003503954
keyword=decoder,-0.004519277,-0.001780611,-0.003503954
keyword=workhouse,-0.004519277,-0.001780611,-0.003503954
keyword=admired by a child,0.041655563,-0.001780611,0.011449065
keyword=rules,-0.004519277,-0.001780611,-0.003503954
keyword=ruler,-0.006391824,-0.002518402,-0.004955806
keyword=ex soldier,-0.006391824,-0.002518402,-0.004955806
keyword=frankenstein,-0.009041107,-0.003562229,-0.007009888
keyword=breakup,-0.004519277,-0.001780611,-0.003503954
keyword=football video game,-0.004519277,-0.001780611,-0.003503954
keyword=dinner,0.019881201,-0.005039651,-0.004627038
keyword=intimacy,-0.004519277,-0.001780611,-0.003503954
keyword=woman agent,-0.004519277,-0.001780611,-0.003503954
keyword=1880s,-0.007829091,-0.00308469,-0.00607017
keyword=hockey team,-0.004519277,-0.001780611,-0.003503954
keyword=partnership,-0.006391824,-0.002518402,-0.004955806
keyword=practice,-0.004519277,-0.001780611,-0.003503954
keyword=custody battle,-0.006391824,-0.002518402,-0.004955806
keyword=gadget,-0.010109217,-0.003983068,-0.007838032
keyword=high school romance,-0.004519277,-0.001780611,-0.003503954
keyword=vaudeville,0.058915408,0.073505855,0.058490455
keyword=encephalitis lethargica,0.041655563,-0.001780611,-0.003503954
keyword=sexual innuendo in title,-0.004519277,-0.001780611,-0.003503954
keyword=sex surrogate,-0.004519277,-0.001780611,-0.003503954
keyword=violent behavior,-0.004519277,-0.001780611,-0.003503954
keyword=star child,-0.004519277,-0.001780611,0.011449065
keyword=evil scientist,-0.004519277,-0.001780611,-0.003503954
keyword=sexual humiliation,-0.004519277,-0.001780611,-0.003503954
keyword=closet,-0.004519277,-0.001780611,-0.003503954
keyword=archipelago,-0.004519277,-0.001780611,-0.003503954
keyword=extra chromosome,-0.004519277,-0.001780611,-0.003503954
keyword=cbs news,0.041655563,-0.001780611,-0.003503954
keyword=darwin,-0.004519277,-0.001780611,-0.003503954
keyword=owner,-0.004519277,-0.001780611,-0.003503954
keyword=phone sex,-0.007829091,-0.00308469,-0.00607017
keyword=conscientious objector,0.041655563,-0.001780611,0.026402085
keyword=book,-0.016367503,-0.009779542,-0.008294479
keyword=variety,0.041655563,-0.001780611,-0.003503954
keyword=cartoonist,-0.007829091,-0.00308469,-0.00607017
keyword=midnight,0.026261792,-0.002518402,0.005618571
keyword=parental love,-0.004519277,-0.001780611,-0.003503954
